"n","conditional_hr","distribution","median_surv","surv_48m","dropout_rate","event_rate","ess_ratio","weighting_scenario","d","beta","gamma","true_marginal_hr"
50,0.7,"weibull",24,0.15,0.2,0.1,0.25,"correct",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.1,0.25,"correct",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.25,0.25,"correct",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.25,0.25,"correct",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.1,0.5,"correct",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.1,0.5,"correct",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.25,0.5,"correct",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.25,0.5,"correct",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.1,0.25,"under",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.1,0.25,"under",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.25,0.25,"under",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.25,0.25,"under",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.1,0.5,"under",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.1,0.5,"under",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.25,0.5,"under",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.25,0.5,"under",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.1,0.25,"over",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.1,0.25,"over",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.25,0.25,"over",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.25,0.25,"over",1.71484375,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.1,0.5,"over",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.1,0.5,"over",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
50,0.7,"weibull",24,0.15,0.2,0.25,0.5,"over",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
200,0.7,"weibull",24,0.15,0.2,0.25,0.5,"over",1.58203125,"-2,-2,-2,0",-0.356674943938732,1.16470249113305
